,item_id,item_feature_0,item_feature_1,item_feature_2,item_feature_3
0,0,-0.6771831139635117,ceca20033d7d36b74dc683ddfb804aa7,eb6f942c01859574cb88d2e62bf84354,795091554fd8f6b4a0ca7df81bf50a64
1,1,-0.7202996418188664,270de57201b8ec18df9a72ed7ecf20eb,eb6f942c01859574cb88d2e62bf84354,795091554fd8f6b4a0ca7df81bf50a64
2,2,0.7456623052631924,270de57201b8ec18df9a72ed7ecf20eb,2ba5916b91fd2d0688459ba79f033a9b,14fb049a96497a5deef345c1c38b2467
3,3,-0.6987413778911891,cb4655bc2d2e54055efefb998883d6fe,1d8ba92fbaa83078dfe330d66b81e5d6,5cc21cc265333250f10b13783ab06472
4,4,1.6511093902256406,ca9488139d82dbbf68a4e71fc7fe52f9,f65e8237cca7eb6b12f4f009a28a6f72,14fb049a96497a5deef345c1c38b2467
5,5,0.14203091528822703,ca9488139d82dbbf68a4e71fc7fe52f9,571216af60c365e6a05e1c33c7041f5f,795091554fd8f6b4a0ca7df81bf50a64
6,6,1.6511093902256406,ceca20033d7d36b74dc683ddfb804aa7,d56aaef6375c7844851af69b354331ba,14fb049a96497a5deef345c1c38b2467
7,7,2.8583721701755715,ca9488139d82dbbf68a4e71fc7fe52f9,2ba5916b91fd2d0688459ba79f033a9b,14fb049a96497a5deef345c1c38b2467
8,8,1.349293695238158,ca9488139d82dbbf68a4e71fc7fe52f9,ef0257571cb05e9c0bba5446f9cfb0c9,14fb049a96497a5deef345c1c38b2467
9,9,1.1983858477444165,cb4655bc2d2e54055efefb998883d6fe,2ba5916b91fd2d0688459ba79f033a9b,14fb049a96497a5deef345c1c38b2467
10,10,1.5864345984426087,cb4655bc2d2e54055efefb998883d6fe,2ba5916b91fd2d0688459ba79f033a9b,14fb049a96497a5deef345c1c38b2467
11,11,0.44384661027570976,ceca20033d7d36b74dc683ddfb804aa7,b1dbb432e49fb71cc3b3e820ff31f3ad,6893a4373a4e271e7f03b7a4bdfde4a3
12,12,1.1983858477444165,ceca20033d7d36b74dc683ddfb804aa7,09122ea36aaf2a8dff8f089286af7cf3,14fb049a96497a5deef345c1c38b2467
13,13,0.6163127216971285,cb4655bc2d2e54055efefb998883d6fe,09122ea36aaf2a8dff8f089286af7cf3,14fb049a96497a5deef345c1c38b2467
14,14,-1.000557072878672,cb4655bc2d2e54055efefb998883d6fe,ec5fb795fb7b3a111ad15e1506487535,795091554fd8f6b4a0ca7df81bf50a64
15,15,-0.37536741897602904,ceca20033d7d36b74dc683ddfb804aa7,e26d13daee6e371dead874b89752bbbe,5cc21cc265333250f10b13783ab06472
16,16,-0.5909500582528024,ceca20033d7d36b74dc683ddfb804aa7,03053cdb09aecdd139df91ac8068987d,5cc21cc265333250f10b13783ab06472
17,17,-0.6987413778911891,cb4655bc2d2e54055efefb998883d6fe,03053cdb09aecdd139df91ac8068987d,5cc21cc265333250f10b13783ab06472
18,18,-0.9143240171679625,270de57201b8ec18df9a72ed7ecf20eb,03053cdb09aecdd139df91ac8068987d,5cc21cc265333250f10b13783ab06472
19,19,-0.7634161696742211,270de57201b8ec18df9a72ed7ecf20eb,03053cdb09aecdd139df91ac8068987d,5cc21cc265333250f10b13783ab06472
20,20,-0.6125083221804798,270de57201b8ec18df9a72ed7ecf20eb,03053cdb09aecdd139df91ac8068987d,5cc21cc265333250f10b13783ab06472
21,21,-0.6987413778911891,cb4655bc2d2e54055efefb998883d6fe,1d8ba92fbaa83078dfe330d66b81e5d6,5cc21cc265333250f10b13783ab06472
22,22,-0.6987413778911891,dbb8044a5cc8d79d0e5c3cf996e2d0b9,eb6f942c01859574cb88d2e62bf84354,795091554fd8f6b4a0ca7df81bf50a64
23,23,-0.5693917943251251,0450516d22e9e70b0ee136549576d0e7,937bfc1b19face0ab0a21dddaeaf19cd,14fb049a96497a5deef345c1c38b2467
24,24,0.4222883463480324,314759c31d4b75b54dfbbeb887f7bbe8,ef0257571cb05e9c0bba5446f9cfb0c9,14fb049a96497a5deef345c1c38b2467
25,25,-0.4616004746867384,cb4655bc2d2e54055efefb998883d6fe,eb6f942c01859574cb88d2e62bf84354,795091554fd8f6b4a0ca7df81bf50a64
26,26,0.8965701527569339,270de57201b8ec18df9a72ed7ecf20eb,ff86755a0252ce6d030f37e89025f60f,14fb049a96497a5deef345c1c38b2467
27,27,-0.8496492253849305,dbb8044a5cc8d79d0e5c3cf996e2d0b9,03053cdb09aecdd139df91ac8068987d,5cc21cc265333250f10b13783ab06472
28,28,-1.0652318646617038,dbb8044a5cc8d79d0e5c3cf996e2d0b9,3f7cf3ddf1cc36d8310a8c0a48187aa9,5cc21cc265333250f10b13783ab06472
29,29,-0.8496492253849305,dbb8044a5cc8d79d0e5c3cf996e2d0b9,5adc59d478af904390b1de5af7f33d45,795091554fd8f6b4a0ca7df81bf50a64
30,30,-0.9143240171679625,dbb8044a5cc8d79d0e5c3cf996e2d0b9,ec5fb795fb7b3a111ad15e1506487535,795091554fd8f6b4a0ca7df81bf50a64
31,31,-0.4616004746867384,0450516d22e9e70b0ee136549576d0e7,5adc59d478af904390b1de5af7f33d45,795091554fd8f6b4a0ca7df81bf50a64
32,32,-0.5262752664697704,314759c31d4b75b54dfbbeb887f7bbe8,3f7cf3ddf1cc36d8310a8c0a48187aa9,5cc21cc265333250f10b13783ab06472
33,33,-0.6125083221804798,314759c31d4b75b54dfbbeb887f7bbe8,eb6f942c01859574cb88d2e62bf84354,795091554fd8f6b4a0ca7df81bf50a64
